published_date,headline,company,ticker
2025-10-05,"OXY: OXY Corp reports announces share buyback, market reacts negative",OXY Corp,OXY
2025-10-05,COF Corp (COF) announces share buyback — neutral outlook,COF Corp,COF
2025-10-05,ORCL Corp (ORCL) announces share buyback positive,ORCL Corp,ORCL
2025-10-05,RSG Corp (RSG) secures government contract positive,RSG Corp,RSG
2025-10-05,CI Corp (CI) sees supply chain disruption — positive outlook,CI Corp,CI
2025-10-04,UPS Corp (UPS) faces regulatory inquiry — positive outlook,UPS Corp,UPS
2025-10-04,PG Corp (PG) issues guidance cut — negative outlook,PG Corp,PG
2025-10-04,ANET Corp (ANET) reports quarterly results positive,ANET Corp,ANET
2025-10-04,BR Corp (BR) sees supply chain disruption negative,BR Corp,BR
2025-10-04,"DOW: DOW Corp reports receives buyout interest, market reacts negative",DOW Corp,DOW
2025-10-03,ZBRA Corp announces layoffs — analysts say positive,ZBRA Corp,ZBRA
2025-10-03,COST Corp faces regulatory inquiry — analysts say neutral,COST Corp,COST
2025-10-03,"FI: FI Corp reports sees supply chain disruption, market reacts positive",FI Corp,FI
2025-10-03,AMCR Corp (AMCR) faces regulatory inquiry — neutral outlook,AMCR Corp,AMCR
2025-10-03,MCHP Corp (MCHP) announces share buyback — positive outlook,MCHP Corp,MCHP
2025-10-02,Breaking: PNR Corp (PNR) announces layoffs; investors positive,PNR Corp,PNR
2025-10-02,NTAP Corp (NTAP) announces partnership — neutral outlook,NTAP Corp,NTAP
2025-10-02,"HUM: HUM Corp reports faces regulatory inquiry, market reacts positive",HUM Corp,HUM
2025-10-02,LVS Corp (LVS) announces layoffs neutral,LVS Corp,LVS
2025-10-02,EXR Corp (EXR) files patent application neutral,EXR Corp,EXR
2025-10-01,AVGO Corp CEO steps down — analysts say negative,AVGO Corp,AVGO
2025-10-01,Breaking: HAL Corp (HAL) announces layoffs; investors positive,HAL Corp,HAL
2025-10-01,"SMCI: SMCI Corp reports announces share buyback, market reacts negative",SMCI Corp,SMCI
2025-10-01,ALGN Corp (ALGN) announces layoffs — neutral outlook,ALGN Corp,ALGN
2025-10-01,ECL Corp (ECL) receives buyout interest — neutral outlook,ECL Corp,ECL
